경력,00000000,01111110,22222222
근무,00000000,22222222,22222222
대리,00011000,22222222,22222222
대리(직급),----1111,00011000,00000000
부장,00000000,00001111,22222222
사원/직원,00000000,01111110,22222222
사장,11000011,00001111,22222222
서류,00000000,11100111,22222222
야근,00000000,22222222,22222222
월급,00001111,00000111,00001000
출근,00000000,----0000,22222222
출근(2),00000000,22222222,22222222
출장,00001111,22222222,22222222
취업/취직,00000000,00001111,22222222
퇴근,00000000,22222222,22222222
회사원,11000011,01111110,22222222
회의,11111111,22222222,22222222
휴가,00000000,22222222,22222222
